X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.78805322,30.19707321,2918,1250227,0.00292391,0.008332275,0.981298352,0.000313129,0,0,0,0,0,0,1,0,0,0,0,0,6,1,56154,130.4,327,337.9485786,0,0,0,0,0,0,Rest,Not Defined,305.0831592,305.0831592,0
-97.80909481,30.17410736,2933,375103.5539,0.007285765,0.004484836,0.965913919,0.001481681,others,others,0,others,0,0,0,0,0,0,0,0,14,1,68021,135.2,620,206.4501038,0,0,0,0,0,0,Rest,Not Defined,189.3156698,189.3156698,0
-97.81487265,30.17399979,2934,330000.8883,0.009063004,0.025480644,0.928142524,0.00269971,others,others,0,others,0,0,0,0,0,0,0,0,18,1,68021,135.2,645,210.2193169,0,0,0,0,0,0,Rest,Not Defined,206.1592738,206.1592738,0
-97.81686399,30.17397065,2935,326256.1011,0.010178909,0.034787458,0.914360116,0.002683292,others,others,0,others,0,0,0,0,0,0,0,0,14,1,68021,135.2,677,211.4104374,0,0,0,0,0,0,Rest,Not Defined,191.6228135,191.6228135,0
-97.82592249,30.17381182,2938,1024866.004,0.002441833,0.034348283,0.923313729,0.002203602,others,others,0,0,others,0,0,0,0,0,0,0,1,1,82964,71.6,875,69.18789768,0,0,0,0,0,0,Rest,Not Defined,69.67098526,69.67098526,0
-97.81730812,30.17368246,2974,291786.1144,0.010212981,0.038303135,0.909530511,0.002894547,others,others,0,others,0,0,0,0,0,0,0,0,15,1,65376,136,690,185.1173981,0,0,0,0,0,0,Rest,Not Defined,170.850929,170.850929,0
-97.81401973,30.17372918,2975,390530.1467,0.010547027,0.016446049,0.937428531,0.002780332,others,others,0,others,0,0,0,0,0,0,0,0,19,1,65376,136,637,182.1392534,0,0,0,0,0,0,Rest,Not Defined,156.9663148,156.9663148,0
-97.80945042,30.17380347,2976,374375.688,0.008571043,0.004117743,0.96433488,0.001603108,others,others,0,others,0,0,0,0,0,0,0,0,16,1,65376,136,622,178.9555708,0,0,0,0,0,0,Rest,Not Defined,184.012902,184.012902,0
-97.69840996,30.38765888,3010,664342.0626,0.003624103,0.001280337,0.984830575,0.001977206,0,1,0,0,0,0,0,0,0,0,0,0,3,1,76395,48.4,438,92.62274132,0,0,0,0,0,0,Rest,Not Defined,93.04821235,93.04821235,0
-97.70133161,30.38934424,3011,660610.8888,0.003129054,0.002610888,0.980850242,0.005814795,0,1,0,0,0,0,0,0,0,0,0,0,1,1,76395,48.4,485,94.45473329,0,0,0,0,0,0,Rest,Not Defined,90.28201495,90.28201495,0
-97.70610435,30.39155262,3012,1145212.4,0.002171774,0.006663498,0.94903763,0.02879532,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58550,48.4,441,87.81852172,0,0,0,0,0,0,Rest,Not Defined,86.95370932,86.95370932,0
